,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPRMC,185648.000,A,3950.9311,N,07531.0769,W,0.25,103.58,070424,,,A*7A",39.848852,-75.517948,"39.84885167,-75.51794833",,,,,,,,,,,
,,,,,"$GPGGA,185649.000,3950.9311,N,07531.0768,W,1,08,1.11,116.7,M,-33.8,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185649.000,A,3950.9311,N,07531.0768,W,0.30,103.58,070424,,,A*7E",39.848852,-75.517947,"39.84885167,-75.51794667",,,,,,,,,,,
,,,,,"$GPGGA,185650.000,3950.9311,N,07531.0767,W,1,08,1.11,116.6,M,-33.8,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185650.000,A,3950.9311,N,07531.0767,W,0.55,103.58,070424,,,A*7A",39.848852,-75.517945,"39.84885167,-75.517945",,,,,,,,,,,
,,,,,"$GPGGA,185651.000,3950.9312,N,07531.0765,W,1,08,1.11,116.6,M,-33.8,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,31,19,67,336,32,17,63,053,24,06,60,243,34*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,21,03,34,059,28,11,23,233,16,24,17,287,15*76",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,49,,,*7F",,,,,,,,,,,,,,
,,,,,"$GPRMC,185651.000,A,3950.9312,N,07531.0765,W,0.86,65.15,070424,,,A*4C",39.848853,-75.517942,"39.84885333,-75.51794167",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185649.000,A,3950.9311,N,07531.0768,W,0.30,103.58,070424,,,A*7E",39.848852,-75.517947,"39.84885167,-75.51794667",,,,,,,,,,,
,,,,,"$GPGGA,185650.000,3950.9311,N,07531.0767,W,1,08,1.11,116.6,M,-33.8,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185650.000,A,3950.9311,N,07531.0767,W,0.55,103.58,070424,,,A*7A",39.848852,-75.517945,"39.84885167,-75.517945",,,,,,,,,,,
,,,,,"$GPGGA,185651.000,3950.9312,N,07531.0765,W,1,08,1.11,116.6,M,-33.8,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,31,19,67,336,32,17,63,053,24,06,60,243,34*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,21,03,34,059,28,11,23,233,16,24,17,287,15*76",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,49,,,*7F",,,,,,,,,,,,,,
,,,,,"$GPRMC,185651.000,A,3950.9312,N,07531.0765,W,0.86,65.15,070424,,,A*4C",39.848853,-75.517942,"39.84885333,-75.51794167",,,,,,,,,,,
,,,,,"$GPGGA,185652.000,3950.9320,N,07531.0759,W,1,08,1.11,116.6,M,-33.8,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
